customer_id,first_name,last_name,email,phone,city,state,country,signup_date,customer_status
C00001,Danielle,Johnson,john21@example.net,9600133890,Robinsonshire,Louisiana,USA,2025-12-05,Active
C00002,Adam,Shaffer,jpeterson@example.org,1161559407,New Kellystad,Oregon,USA,2024-01-28,Active
C00003,Chad,Stanley,tracie31@example.com,7525534192,Grayside,Iowa,USA,2025-07-21,Active
C00004,Megan,Parsons,lydiatrujillo@example.com,1395376724,Juliechester,Pennsylvania,USA,2024-09-11,Active
C00005,Jeffrey,Bright,ddavis@example.org,2691669784,Kaylamouth,Delaware,USA,2024-05-18,Active
C00006,Eric,Smith,teresa28@example.org,8932528809,West Natashaport,Kansas,USA,2023-09-03,Active
C00007,Natalie,Arroyo,dennislisa@example.net,2782489638,Samuelhaven,New Hampshire,USA,2023-11-11,Active
C00008,Jeffrey,Morgan,briannasmith@example.net,3105183473,Sanchezfort,Nebraska,USA,2024-01-26,Active
C00009,Collin,Jordan,ujenkins@example.org,0651333872,Wrightland,New Hampshire,USA,2025-12-03,Active
C00010,Melissa,Garcia,novaksara@example.org,6773602606,Hortonside,Texas,USA,2025-08-27,Inactive
C00011,Eric,Phillips,,0097882081,Lake Michellefurt,Delaware,USA,2026-04-28,Active
C00012,Ashley,Riley,harveyrobert@example.net,4353462475,North Amandahaven,Kentucky,USA,2023-11-24,Active
C00013,Michael,Jones,mikemoore@example.net,9808412411,Cassandramouth,Indiana,USA,2025-07-24,Active
C00014,Melissa,Wagner,rebecca01@example.net,4005242786,Lake Rebeccaside,Arizona,USA,2026-01-01,Active
C00015,Brandi,Hernandez,bobbydiaz@example.org,3315869232,Lake Sandra,Nebraska,USA,2025-11-27,Active
C00016,Michelle,Cochran,erik16@example.org,3375433036,Michaelhaven,Montana,USA,2025-07-15,Active
C00017,Megan,Rivera,wilsontara@example.org,0196556981,Bradleychester,Alabama,USA,2025-01-21,Active
C00018,Lindsay,Mcdaniel,michaeljones@example.net,9514846564,Ortegafurt,Utah,USA,2025-09-28,Inactive
C00019,Grant,Carroll,akelley@example.com,3699577738,Zacharymouth,Colorado,USA,2025-12-14,Active
C00020,Karen,Chambers,lindsayhernandez@example.org,7917693676,Port Ronaldburgh,Vermont,USA,2025-01-19,Active
C00021,Brent,Wright,bryantlaurie@example.net,123,Simsview,New Hampshire,USA,2023-09-24,Active
C00022,Justin,Nelson,patricia12@example.org,6231665876,Steinshire,Vermont,USA,2023-07-23,Active
C00023,Nicole,Johnston,wsmith@example.com,6889373467,Ramseymouth,Florida,USA,2026-06-10,Active
C00024,Amanda,Meadows,millerroy@example.com,0465375564,Smithside,Arkansas,USA,2026-07-01,Active
C00025,Michael,Santos,websterstefanie@example.org,9232719374,Port Loriport,Connecticut,USA,2025-03-27,Active
C00026,Sarah,Johnston,tsanders@example.org,9314919058,Alexanderchester,New York,USA,2023-10-25,Inactive
C00027,Susan,Reid,bzimmerman@example.org,9877694531,Hudsonfurt,Michigan,USA,2023-08-02,Active
C00028,Melissa,White,michaelgreen@example.com,8083136783,North Kellyfurt,Vermont,USA,2024-03-24,Active
C00029,Elizabeth,Wood,ronald85@example.com,4443135182,Jennyhaven,Rhode Island,USA,2024-05-07,Active
C00030,Craig,Lee,michaelturner@example.net,4008427109,Petersonton,Kentucky,USA,2026-04-28,Active
C00031,Tim,Short,lynchjody@example.org,2294131869,Hayesmouth,Maryland,USA,2026-01-29,Active
C00032,Veronica,Torres,lynchjody@example.org,4123281206,Antonioport,Virginia,USA,2024-05-06,Active
C00033,Michele,Jones,sandrafrench@example.net,6183242102,Scottmouth,Vermont,USA,2024-05-30,Active
C00034,Richard,Nelson,mkim@example.org,5940139904,Stonemouth,Louisiana,USA,2024-01-16,Active
C00035,Brenda,Walters,ecosta@example.com,5512567468,Johnnyville,Wyoming,USA,2024-09-16,Active
C00036,Xavier,Travis,mgutierrez@example.net,9770348247,Lake Eric,Oklahoma,USA,2023-07-16,Active
C00037,Ricky,Walker,murraydavid@example.org,4846773782,Port Chad,Wyoming,USA,2025-11-13,Active
C00038,Robert,Villa,lori44@example.net,2787558867,Hallchester,Arizona,USA,2024-06-14,Active
C00039,Thomas,Mcintyre,qhughes@example.net,7028951718,Pittsberg,California,USA,2024-11-27,Active
C00040,Tanya,Morgan,vsantos@example.net,5780913431,Jacksonport,Alaska,USA,2023-08-21,Active
C00041,Laura,Carter,ryan38@example.com,2219693792,Scotttown,New Jersey,USA,2026-03-15,Active
C00042,Erica,Moore,llandry@example.com,4743671369,Andrewfurt,Louisiana,USA,2023-07-10,Inactive
C00043,Michelle,Osborne,lozanojulie@example.com,9533942104,Jessicaland,Maine,USA,2024-06-24,Active
C00044,Robert,Gonzalez,alyssa42@example.com,4517123685,Amandamouth,Mississippi,USA,2025-07-08,Active
C00045,Emily,Richards,daniel37@example.org,9317461200,East Paigeberg,Missouri,USA,2024-11-10,Active
C00046,Ellen,Paul,umatthews@example.org,1796405377,Amystad,Arkansas,USA,2024-09-10,Active
C00047,James,Martinez,ndavis@example.net,0532931839,Port Rachel,Alabama,USA,2024-04-30,Active
C00048,Tracey,Huerta,lauren10@example.org,5395024026,Weststad,North Carolina,USA,2025-04-12,Active
